abstention_reason,branch,burst_count,capture_id,class_probability,decision_window_id,evaluation_domain,final_decision,predicted_class,true_physical_unit_id,window_duration_s
,engineered_rf,304,BLE-IQ-ba04aa2acb7f,1.0,BLE-IQ-ba04aa2acb7f-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,84,BLE-IQ-ba04aa2acb7f,1.0,BLE-IQ-ba04aa2acb7f-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,302,BLE-IQ-ba2d9c0f6f78,1.0,BLE-IQ-ba2d9c0f6f78-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,93,BLE-IQ-ba2d9c0f6f78,1.0,BLE-IQ-ba2d9c0f6f78-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,263,BLE-IQ-bf41b00049dc,0.9166666666666666,BLE-IQ-bf41b00049dc-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,44,BLE-IQ-bf41b00049dc,0.93,BLE-IQ-bf41b00049dc-decision-win-00000,TEST,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,484,BLE-IQ-bfc747fa3333,0.9634146341463414,BLE-IQ-bfc747fa3333-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,441,BLE-IQ-c08616ecb1dd,0.9690721649484536,BLE-IQ-c08616ecb1dd-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,378,BLE-IQ-c273afc4cdad,0.9595959595959596,BLE-IQ-c273afc4cdad-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,92,BLE-IQ-c273afc4cdad,1.0,BLE-IQ-c273afc4cdad-decision-win-00000,TRAIN,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,90,BLE-IQ-c55e073b572e,1.0,BLE-IQ-c55e073b572e-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 02,keyfobdemo 02,10.0
,engineered_rf,377,BLE-IQ-c55e073b572e,0.8815789473684211,BLE-IQ-c55e073b572e-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,351,BLE-IQ-c77228bbfffc,0.7227722772277227,BLE-IQ-c77228bbfffc-decision-win-00000,VALIDATION,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
